"virus name","TaxaID","refseq id","Genome.organization"
"Acinetobacter phage AbTZA1",2500827,"NC_049445","Linear"
"Acinetobacter phage Abp1",1235824,"NC_021316","Linear"
"Acinetobacter phage Ac42",762660,"NC_014660","Linear"
"Acinetobacter phage Acj61",760732,"NC_014661","Linear"
"Acinetobacter phage Acj9",760939,"NC_014663","Linear"
"Acinetobacter phage Fri1",1647373,"NC_028848","Linear"
"Acinetobacter phage IME-200",1735582,"NC_028987","Linear"
"Acinetobacter phage IMEAB3",1458669,"NC_023590","Linear"
"Acinetobacter phage KARL-1",2301662,"NC_049441","Linear"
"Acinetobacter phage LZ35",1792222,"NC_031117","Linear"
"Acinetobacter phage Loki",1970374,"NC_042137","Linear"
"Acinetobacter phage Petty",1406779,"NC_023570","Linear"
"Acinetobacter phage Presley",1406780,"NC_023581","Linear"
"Acinetobacter phage SH-Ab 15519",1916127,"NC_041905","Linear"
"Acinetobacter phage SWH-Ab-1",2053604,"NC_047896","Linear"
"Acinetobacter phage SWH-Ab-3",2059857,"NC_047883","Linear"
"Acinetobacter phage VB_ApiP_XC38",2655002,"NC_055823","Linear"
"Acinetobacter phage WCHABP1",1983409,"NC_041966","Linear"
"Acinetobacter phage WCHABP12",1965454,"NC_041924","Linear"
"Acinetobacter phage WCHABP5",1983525,"NC_041967","Linear"
"Acinetobacter phage YMC-13-01-C62",1505225,"NC_024785","Linear"
"Acinetobacter phage YMC/09/02/B1251",1221835,"NC_019541","Linear"
"Acinetobacter phage YMC11/11/R3177",1628721,"NC_041866","Linear"
"Acinetobacter phage YMC11/12/R2315",1628720,"NC_028855","Linear"
"Acinetobacter phage YMC13/03/R2096",1560342,"NC_027332","Linear"
"Acinetobacter phage ZZ1",1049283,"NC_018087","Linear"
"Acinetobacter phage phiAB1",691318,"NC_028675","Linear"
"Acinetobacter phage phiAB6",1698439,"NC_031086","Linear"
"Acinetobacter phage phiAC-1",1229760,"NC_028995","Linear"
"Acinetobacter phage vB_AbaM-IME-AB2",1243183,"NC_041857","Linear"
"Acinetobacter phage vB_AbaM_Acibel004",1481186,"NC_025462","Linear"
"Acinetobacter phage vB_AbaM_Apostate",2686308,"NC_049491","Linear"
"Acinetobacter phage vB_AbaM_B09_Aci01-1",2315466,"NC_048074","Linear"
"Acinetobacter phage vB_AbaM_B09_Aci02-2",2315467,"NC_048075","Linear"
"Acinetobacter phage vB_AbaM_B09_Aci05",2315458,"NC_048080","Linear"
"Acinetobacter phage vB_AbaM_Berthold",2686290,"NC_049490","Linear"
"Acinetobacter phage vB_AbaM_Kimel",2686303,"NC_049492","Linear"
"Acinetobacter phage vB_AbaM_Konradin",2666257,"NC_049479","Linear"
"Acinetobacter phage vB_AbaM_Lazarus",2686289,"NC_049493","Linear"
"Acinetobacter phage vB_AbaM_ME3",1837876,"NC_041884","Linear"
"Acinetobacter phage vB_AbaM_PhT2",2690230,"NC_049494","Linear"
"Acinetobacter phage vB_AbaM_phiAbaA1",1605379,"NC_031280","Linear"
"Acinetobacter phage vB_AbaP_46-62_Aci07",2315468,"NC_048076","Linear"
"Acinetobacter phage vB_AbaP_AS11",1932886,"NC_041915","Linear"
"Acinetobacter phage vB_AbaP_AS12",1932885,"NC_041914","Linear"
"Acinetobacter phage vB_AbaP_Acibel007",1481187,"NC_025457","Linear"
"Acinetobacter phage vB_AbaP_B09_Aci08",2315601,"NC_048081","Linear"
"Acinetobacter phage vB_AbaP_B1",2016049,"NC_042003","Linear"
"Acinetobacter phage vB_AbaP_B3",2016050,"NC_042004","Linear"
"Acinetobacter phage vB_AbaP_B5",2678937,"NC_042005","Linear"
"Acinetobacter phage vB_AbaP_D2",2126803,"NC_042124","Linear"
"Acinetobacter phage vB_AbaP_PD-6A3",1701807,"NC_028684","Linear"
"Acinetobacter phage vB_AbaP_PD-AB9",1701808,"NC_028679","Linear"
"Acinetobacter phage vB_AbaS_TRS1",1852629,"NC_031098","Linear"
"Acinetobacter phage vB_ApiM_fHyAci03",2269366,"NC_049438","Linear"
"Acinetobacter phage vB_ApiP_P1",2016052,"NC_042006","Linear"
"Acinetobacter phage vB_ApiP_P2",2016053,"NC_042007","Linear"
"Aconitum latent virus",101764,"NC_002795","Linear"
"Actinidia seed borne latent virus",2560282,"NC_040800","Linear"
"Actinidia virus 1",2024724,"NC_035453","Linear"
"Actinidia virus A",1112769,"NC_043087","Linear"
"Actinidia virus B",1112770,"NC_016404","Linear"
"Actinidia virus X",1331744,"NC_028649","Linear"
"Actinomyces phage Av-1",2880361,"DQ123818","Linear"
"Actinoplanes phage phiAsp2",279303,"NC_005885","Linear"
"Acute bee paralysis virus",92444,"NC_002548","Linear"
"Acyrthosiphon pisum virus",340187,"NC_003780","Linear"
"Adelaide River virus",31612,"NC_028246","Linear"
"Adelie penguin polyomavirus",1590650,"NC_026141","Linear"
"Adelphocoris suturalis virus",1930920,"NC_032728","Linear"
"Adeno-associated virus",272636,"NC_040671","Linear"
"Adeno-associated virus - 1",85106,"NC_002077","Linear"
"Adeno-associated virus - 3",46350,"NC_001729","Linear"
"Adeno-associated virus - 4",57579,"NC_001829","Linear"
"Adeno-associated virus - 6",68558,"AF028704","Linear"
"Adeno-associated virus - 7",202812,"NC_006260","Linear"
"Adeno-associated virus - 8",202813,"NC_006261","Linear"
"Adeno-associated virus 3B",68742,"AF028705","Linear"
"Adeno-associated virus-Go.1",296148,"DQ335246","Linear"
"Adonis mosaic virus",1883104,"NC_040794","Linear"
"Adoxophyes honmai entomopoxvirus 'L'",1293540,"NC_021247","Linear"
"Adoxophyes honmai nucleopolyhedrovirus",224399,"NC_004690","Linear"
"Adoxophyes orana granulovirus",170617,"NC_005038","Linear"
"Adoxophyes orana nucleopolyhedrovirus",542343,"NC_011423","Linear"
"Aedes aegypti densovirus 2",1513196,"NC_012636","Linear"
"Aedes alboannulatus toti-like virus 1",2010265,"NC_035130","Linear"
"Aedes albopictus densovirus 2",1513199,"NC_004285","Linear"
"Aedes camptorhynchus negev-like virus",2010268,"NC_035128","Linear"
"Aedes camptorhynchus toti-like virus 1",2010266,"NC_035131","Linear"
"Aedes flavivirus",390845,"NC_012932","Linear"
"Aeribacillus phage AP45",1913112,"NC_048651","Linear"
"Aeromonas phage 25",2911441,"NC_008208","Linear"
"Aeromonas phage 25AhydR2PP",2163976,"NC_047966","Linear"
"Aeromonas phage 2L372D",2588097,"NC_048769","Linear"
"Aeromonas phage 2L372X",2588515,"NC_048770","Linear"
"Aeromonas phage 2_D05",2588098,"NC_054465","Linear"
"Aeromonas phage 31",321023,"NC_007022","Linear"
"Aeromonas phage 44RR2.8t",2907963,"NC_005135","Linear"
"Aeromonas phage 4L372D",2588518,"NC_048771","Linear"
"Aeromonas phage 4L372XY",2588520,"NC_048772","Linear"
"Aeromonas phage 4_4572",2588517,"NC_048773","Linear"
"Aeromonas phage 4_D05",2588099,"NC_054466","Linear"
"Aeromonas phage 50AhydR13PP",2163978,"NC_055746","Linear"
"Aeromonas phage 60AhydR15PP",2163979,"NC_055747","Linear"
"Aeromonas phage 65",2919549,"NC_015251","Linear"
"Aeromonas phage AS-gz",2026082,"NC_042019","Linear"
"Aeromonas phage AS-sw",2026113,"NC_048674","Linear"
"Aeromonas phage AS-zj",2024208,"NC_048673","Linear"
"Aeromonas phage Aeh1",2880362,"NC_005260","Linear"
"Aeromonas phage Aes012",1198014,"NC_020879","Linear"
"Aeromonas phage Aes508",1198013,"NC_019543","Linear"
"Aeromonas phage Ah1",2053701,"NC_055733","Linear"
"Aeromonas phage AhSzq-1",2138298,"NC_047949","Linear"
"Aeromonas phage AhSzw-1",2138299,"NC_047950","Linear"
"Aeromonas phage Ahp1",1747286,"NC_047866","Linear"
"Aeromonas phage BUCT551",2776735,"NC_052986","Linear"
"Aeromonas phage CC2",1204516,"NC_019538","Linear"
"Aeromonas phage CF7",2507411,"NC_047865","Linear"
"Aeromonas phage LAh_6",2591030,"NC_048774","Linear"
"Aeromonas phage LAh_7",2591031,"NC_052985","Linear"
"Aeromonas phage LAh_8",2591032,"NC_048775","Linear"
"Aeromonas phage LAh_9",2591033,"NC_048776","Linear"
"Aeromonas phage PX29",926067,"NC_023688","Linear"
"Aeromonas phage ZPAH7",2420320,"NC_048133","Linear"
"Aeromonas phage pAh6-C",1505227,"NC_025459","Linear"
"Aeromonas phage pIS4-A",754050,"NC_042037","Linear"
"Aeromonas phage phiA8-29",1978922,"NC_048660","Linear"
"Aeromonas phage phiAS4",879628,"NC_014635","Linear"
"Aeromonas phage phiAS5",879630,"NC_014636","Linear"
"Aeromonas phage phiAS7",1141132,"NC_019528","Linear"
"Aeromonas phage phiO18P",2913974,"NC_009542","Linear"
"Aeromonas phage vB_AhyS-A18P4",2608321,"NC_052984","Linear"
"Aeromonas phage vB_AsaM-56",1127514,"NC_019527","Linear"
"Aeropyrum coil-shaped virus",1157339,"NC_043427","Linear"
"Aeropyrum globular virus 1",1932713,"NC_036595","Linear"
"Aeropyrum pernix bacilliform virus 1",700542,"NC_043030","Linear"
"Aeropyrum pernix ovoid virus 1",1032474,"NC_028256","Linear"
"Aeropyrum pernix spindle-shaped virus 1",1032473,"NC_028268","Linear"
"Affertcholeramvirus CTXphi",141904,"KJ619459","Linear"
"African bat icavirus PREDICT-06105",2003501,"NC_026470","Linear"
"African eggplant mosaic virus",2056161,"NC_043537","Linear"
"African eggplant yellowing virus",1963256,"NC_034207","Linear"
"African elephant polyomavirus 1",1399914,"NC_022519","Linear"
"African green monkey polyomavirus",12480,"NC_004763","Linear"
"African green monkey simian foamy virus",338079,"NC_010820","Linear"
"African oil palm ringspot virus",185218,"NC_012519","Linear"
"African pouched rat arterivirus",1965064,"NC_026439","Linear"
"African swine fever virus",10497,"NC_001659,NC_044941,NC_044942,NC_044943,NC_044944,NC_044945,NC_044946,NC_044947,NC_044948,NC_044949,NC_044950,NC_044951,NC_044952,NC_044953,NC_044954,NC_044955,NC_044959","Linear"
"African swine fever virus Benin 97/1",443876,"NC_044956","Linear"
"African swine fever virus E75",686262,"NC_044958","Linear"
"African swine fever virus OURT 88/3",443878,"NC_044957","Linear"
"Agaricus bisporus endornavirus 1",1945738,"NC_055468","Linear"
"Agave tequilana leaf virus",387423,"NC_034833","Linear"
"Ageratum Yellow vein China virus - OX1",1329380,"NC_021202","Linear"
"Ageratum conyzoides associated symptomless alphasatellite",944995,"NC_024710","Linear"
"Ageratum conyzoides symptomless alphasatellite",1705092,"NC_028116","Linear"
"Ageratum enation alphasatellite",1260769,"NC_019547","Linear"
"Ageratum enation virus",188333,"NC_003434","Linear"
"Ageratum enation virus associated DNA 1",666636,"FN543100","Linear"
"Ageratum leaf curl Buea betasatellite",912035,"NC_014746","Linear"
"Ageratum leaf curl Cameroon alphasatellite",743035,"NC_014744","Linear"
"Ageratum leaf curl Cameroon betasatellite",635076,"NC_012557","Linear"
"Ageratum leaf curl Cameroon virus",912033,"NC_014645","Linear"
"Ageratum leaf curl Sichuan virus",2182585,"NC_055492","Linear"
"Ageratum leaf curl betasatellite",1175505,"NC_020889","Linear"
"Ageratum leaf curl virus - [G52]",298650,"NC_006384","Linear"
"Ageratum yellow leaf curl betasatellite",169687,"NC_005046","Linear"
"Ageratum yellow vein China alphasatellite",1454227,"NC_023443","Linear"
"Ageratum yellow vein China betasatellite",329288,"NC_007067","Linear"
"Ageratum yellow vein China virus - [G68]",298133,"AJ849916","Linear"
"Ageratum yellow vein China virus - [Hn2]",222078,"NC_004090","Linear"
"Ageratum yellow vein China virus - [Z1]",1311625,"JX911332","Linear"
"Ageratum yellow vein Hualian virus",437063,"NC_010812","Linear"
"Ageratum yellow vein Hualian virus-[Taiwan:Hualian4:2000]",437061,"NC_038913","Linear"
"Ageratum yellow vein India alphasatellite",1407058,"NC_019546","Linear"
"Ageratum yellow vein India betasatellite",2010316,"NC_043428","Linear"
"Ageratum yellow vein Pakistan alphasatellite",1468596,"NC_033271","Linear"
"Ageratum yellow vein Singapore alphasatellite",915293,"NC_003414","Linear"
"Ageratum yellow vein Sri Lanka betasatellite",2010317,"NC_043429","Linear"
"Ageratum yellow vein Sri Lanka virus",222079,"NC_002981","Linear"
"Ageratum yellow vein Taiwan virus",222441,"NC_004627","Linear"
"Ageratum yellow vein alphasatellite",187850,"NC_033555","Linear"
"Ageratum yellow vein betasatellite",185750,"NC_003403","Linear"
"Ageratum yellow vein virus",44560,"NC_004626,NC_027040","Linear"
"Ageratum yellow vein virus - [G129]",501251,"AM940137","Linear"
"Ageratum yellow vein virus satellite DNA beta-[Ishigaki]",446569,"AB306522","Linear"
"Ageratum yellow vein virus-Ishigaki",446318,"AB306314","Linear"
"Aggregatibacter phage S1249",683735,"NC_013597","Linear"
"Aglaonema bacilliform virus",1512278,"NC_055236","Linear"
"Agrobacterium phage 7-7-1",1161931,"NC_019519","Linear"
"Agrobacterium phage Atu_ph02",2024261,"NC_047845","Linear"
"Agrobacterium phage Atu_ph03",2024262,"NC_047846","Linear"
"Agrobacterium phage Atu_ph07",2024264,"NC_042013","Linear"
"Agrobacterium phage OLIVR1",2723769,"NC_055840","Linear"
"Agrobacterium phage OLIVR5",2723773,"NC_055841","Linear"
"Agropyron mosaic virus",41763,"NC_005903","Linear"
"Agrotis ipsilon multiple nucleopolyhedrovirus",208013,"NC_011345","Linear"
"Agrotis segetum granulovirus",10464,"NC_039213","Linear"
"Agrotis segetum nucleopolyhedrovirus A",1962501,"NC_007921","Linear"
"Agrotis segetum nucleopolyhedrovirus B",1580580,"NC_025960","Linear"
"Aichi virus 1",1313215,"NC_001918","Linear"
"Aichivirus B",194965,"NC_004421","Linear"
"Ailuropoda melanoleuca papillomavirus 1",2016454,"NC_035201","Linear"
"Ailuropoda melanoleuca papillomavirus 2",2016455,"NC_035199","Linear"
"Ailuropoda melanoleuca papillomavirus 4",2016453,"NC_035193","Linear"
"Aimelvirus 1",2016447,"NC_055161","Linear"
"Aimelvirus 2",2016448,"NC_035198","Linear"
"Aiptasia sp. sea anemone associated circular virus",1692242,"NC_027781","Linear"
"Air potato virus 1",2491018,"NC_055177","Linear"
"Akhmeta virus",2200830,"NC_055230","Linear"
"Akodon montensis polyomavirus",2163422,"NC_040715","Linear"
"Alcelaphine gammaherpesvirus 1",35252,"NC_002531","Linear"
"Alcelaphine gammaherpesvirus 2",138184,"NC_024382","Linear"
"Alces alces faeces associated circular virus MP65",2219143,"NC_040327","Linear"
"Alces alces faeces associated microvirus MP10 5560",2219133,"NC_040350","Linear"
"Alces alces faeces associated microvirus MP11 5517",2219134,"NC_040342","Linear"
"Alces alces faeces associated microvirus MP12 5423",2219135,"NC_040328","Linear"
"Alces alces faeces associated microvirus MP15 5067",2219136,"NC_040374","Linear"
"Alces alces faeces associated microvirus MP18 4940",2219137,"NC_040373","Linear"
"Alces alces faeces associated microvirus MP21 4718",2219138,"NC_040349","Linear"
"Alces alces faeces associated microvirus MP3 6497",2219139,"NC_040375","Linear"
"Alces alces faeces associated smacovirus MP78",2219142,"NC_040359","Linear"
"Alces alces papillomavirus 1",2885846,"NC_001524","Linear"
"Aleutian mink disease virus",28314,"NC_001662","Linear"
"Alfalfa dwarf virus",998864,"NC_028237","Linear"
"Alfalfa enamovirus 1",1770265,"NC_029993","Linear"
"Alfalfa latent virus",165250,"NC_026616","Linear"
"Alfalfa leaf curl virus",1306546,"NC_027714","Linear"
"Alfalfa virus F",2170538,"NC_040565","Linear"
"Alfalfa virus S",1985968,"NC_034622","Linear"
"Alfuy virus",44017,"AY898809","Linear"
"Algerian watermelon mosaic virus",515575,"NC_010736","Linear"
"Alkhumra hemorrhagic fever virus",172148,"JN860200","Linear"
"Allamanda leaf curl virus",452758,"NC_010947","Linear"
"Allium cepa amalgavirus 1",2058778,"NC_036580","Linear"
"Allium cepa amalgavirus 2",2058779,"NC_036581","Linear"
"Allium virus X",317027,"NC_012211","Linear"
"Almendravirus arboretum",1972683,"NC_025393","Linear"
"Almendravirus balsa",1972684,"NC_039200","Linear"
"Almendravirus chico",1972687,"NC_031958","Linear"
"Almendravirus cootbay",1972685,"NC_031957","Linear"
"Almpiwar virus",318843,"NC_025391","Linear"
"Alpaca respiratory coronavirus",1176035,"JQ410000","Linear"
"Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015",2492658,"NC_046964","Linear"
"Alphamesonivirus 2",1945560,"NC_020899","Linear"
"Alphamesonivirus 3",1945561,"NC_020900","Linear"
"Alphamesonivirus 4",1945562,"NC_020901","Linear"
"Alphapapillomavirus 12",10570,"NC_001678","Linear"
"Alphapapillomavirus 3",333767,"NC_001694","Linear"
"Alphapapillomavirus 4",337043,"NC_001352","Linear"
"Alphapapillomavirus 7",337042,"NC_001357","Linear"
"Alphapolyomavirus aflavicollis",2170408,"NC_055556","Linear"
"Alphapolyomavirus apaniscus",1236391,"NC_019853","Linear"
"Alphapolyomavirus callosciuri",2721748,"NC_055575","Linear"
"Alphapolyomavirus cardiodermae",1891718,"NC_020067","Linear"
"Alphapolyomavirus chlopygerythrus",1891719,"NC_019844","Linear"
"Alphapolyomavirus mauratus",1891729,"NC_001663","Linear"
"Alphapolyomavirus quartipanos",1891736,"NC_019855","Linear"
"Alphapolyomavirus quintipanos",1891737,"NC_019856","Linear"
"Alphapolyomavirus secarplanirostris",1606498,"NC_038555","Linear"
"Alphapolyomavirus septipanos",1891739,"NC_019858","Linear"
"Alphapolyomavirus sextipanos",1891738,"NC_019857","Linear"
"Alphapolyomavirus sturnirae",1606500,"NC_038557","Linear"
"Alphapolyomavirus tertarplanisrostris",1606499,"NC_038556","Linear"
"Alphapolyomavirus tertichlopygerythrus",1891720,"NC_025898","Linear"
"Alphapolyomavirus tertipanos",1891735,"NC_025370","Linear"
"Alphavirus M1",97469,"EF011023","Linear"
"Alpinia oxyphylla mosaic virus",2212477,"NC_055493","Linear"
"Alston virus",2495433,"NC_055508","Linear"
"Alstroemeria mosaic virus",260374,"MT892648","Linear"
"Alstroemeria virus X",316983,"NC_007408","Linear"
"Alternanthera mosaic virus",85454,"NC_007731","Linear"
"Alternanthera yellow vein betasatellite",447606,"NC_009562","Linear"
"Alternanthera yellow vein virus",337826,"NC_007211","Linear"
"Alternaria arborescens mitovirus 1",1826822,"NC_030747","Linear"
"Alternaria arborescens victorivirus 1",1728964,"NC_040793","Linear"
"Alternaria brassicicola betaendornavirus 1",1580606,"NC_026136","Linear"
"Alternaria brassicicola fusarivirus 1",1766767,"NC_029056","Linear"
"Alternaria longipes dsRNA virus 1",1532031,"NC_024703","Linear"
"Alteromonas phage vB_AcoS-R7M",2729541,"NC_048878","Linear"
"Alteromonas phage vB_AmaP_AD45-P1",1300004,"NC_021532","Linear"
"Alteromonas phage vB_AmaP_AD45-P2",1300005,"KF005320","Linear"
"Alteromonas phage vB_AmaP_AD45-P3",1300006,"KF005318","Linear"
"Alteromonas phage vB_AmaP_AD45-P4",1300007,"KF005319","Linear"
"Alteromonas phage vB_AmeM_PT11-V22",2704031,"NC_048847","Linear"
"Alteromonas phage vB_AspP-H4/4",2928692,"NC_047834","Linear"
"Amaranthus leaf mottle virus",241651,"OL584351","Linear"
"Ambrosia asymptomatic virus 1",1417304,"NC_055542","Linear"
"Ambystoma tigrinum stebbensi virus",217733,"AY150217","Linear"
"Ambystoma tigrinum virus",265294,"NC_005832","Linear"
"Amdoparvovirus sp.",1908805,"NC_031751","Linear"
"American bat vesiculovirus TFFN-2013",1344113,"NC_022755","Linear"
"American hop latent virus",1177630,"NC_017859","Linear"
"Amphibola crenata associated bacilladnavirus 1",1941435,"NC_033746","Linear"
"Amphibola crenata associated bacilladnavirus 2",1941436,"NC_033741","Linear"
"Amphotropic murine leukemia virus",188539,"AF411814","Linear"
"Ampivirus A1",1661395,"NC_027214","Linear"
"Amsacta moorei entomopoxvirus",28321,"NC_002520","Linear"
"Anabaena phage A-4L",1357732,"NC_024358","Linear"
"Anaconda paramyxovirus",1529450,"KJ956407","Linear"
"Anagyris vein yellowing virus",312275,"NC_011559","Linear"
"Anatid alphaherpesvirus 1",104388,"NC_013036","Linear"
"Ancient caribou feces associated virus",1542745,"NC_024907","Linear"
"Andean potato latent virus",73819,"NC_020470","Linear"
"Andean potato mild mosaic virus",1296569,"NC_020471","Linear"
"Andrena haemorrhoa nege-like virus",2094259,"NC_040813","Linear"
"Andrias davidianus ranavirus",1398177,"KC865735","Linear"
"Andrographis yellow vein leaf curl betasatellite",1476485,"NC_023876","Linear"
"Andrographis yellow vein leaf curl virus",1738045,"NC_028262","Linear"
"Angelica bushy stunt virus",1808970,"NC_043523","Linear"
"Angelonia flower break virus",352882,"NC_007733","Linear"
"Anguilla anguilla circovirus",1420600,"NC_023421","Linear"
"Anguillid herpesvirus 1",150286,"NC_013668","Linear"
"Anomala cuprea entomopoxvirus",62099,"NC_023426","Linear"
"Anopheles C virus",1769780,"NC_030115","Linear"
"Anopheles flavivirus variant 1",1903340,"NC_031327","Linear"
"Anopheles gambiae densovirus",487311,"NC_011317","Linear"
"Anopheles minimus iridovirus",1465751,"NC_023848","Linear"
"Anoxybacillus phage A403",2099336,"NC_048701","Linear"
"Antarctic penguin virus A",2006072,"NC_039017","Linear"
"Antarctic penguin virus B",2006073,"NC_039018","Linear"
"Antarctic penguin virus C",2006074,"NC_039019","Linear"
"Antarctic picorna-like virus 1",1648481,"NC_030232","Linear"
"Antarctic picorna-like virus 2",1648482,"NC_030233","Linear"
"Antarctic picorna-like virus 3",1648483,"NC_030234","Linear"
"Antarctic picorna-like virus 4",1648484,"NC_030235","Linear"
"Antheraea pernyi iflavirus",1460071,"NC_023483","Linear"
"Antheraea pernyi nucleopolyhedrovirus",161494,"NC_008035","Linear"
"Anthoxanthum odoratum amalgavirus 1",2065797,"NC_040432","Linear"
"Anticarsia gemmatalis multiple nucleopolyhedrovirus",268591,"NC_031761","Linear"
"Anticarsia gemmatalis nucleopolyhedrovirus",31507,"NC_008520","Linear"
"Antonospora locustae virus 1",1872708,"NC_035189","Linear"
"Anubis baboon polyomavirus",1608532,"KJ577598","Linear"
"Aotine betaherpesvirus 1",50290,"NC_016447","Linear"
"Aphid lethal paralysis virus",209529,"NC_004365","Linear"
"Aphis glycines virus 3",2005444,"NC_034973","Linear"
"Apis dicistrovirus",1983569,"NC_035115","Linear"
"Apis flavivirus",1983570,"NC_035071","Linear"
"Apis mellifera filamentous virus",1100043,"NC_027925","Linear"
"Apium virus Y",168135,"NC_014905","Linear"
"Aplysia californica nido-like virus",2283236,"NC_040711","Linear"
"Apocheima cinerarium nucleopolyhedrovirus",307461,"NC_018504","Linear"
"Apodemus sylvaticus papillomavirus 1",1036963,"NC_024893","Linear"
"Apoi virus",64280,"NC_003676","Linear"
"Apple chlorotic leaf spot virus",12175,"NC_001409","Linear"
"Apple dimple fruit viroid",73494,"NC_003463","Linear"
"Apple fruit crinkle viroid",190808,"NC_003777","Linear"
"Apple geminivirus 1",2843704,"NC_026760","Linear"
"Apple green crinkle associated virus",1211388,"NC_018714","Linear"
"Apple hammerhead viroid-like circular RNA",1737346,"NC_028132","Linear"
"Apple luteovirus 1",2170544,"NC_040680","Linear"
"Apple scar skin viroid",12895,"NC_001340","Linear"
"Apple scar skin viroid-C",325110,"AY972082","Linear"
"Apple stem grooving virus",28347,"NC_001749","Linear"
"Apple stem pitting virus",35350,"NC_003462","Linear"
"Apple-associated luteovirus",2054409,"NC_040549","Linear"
"Apricot latent virus",75387,"NC_014821","Linear"
"Apricot pseudo-chlorotic leaf spot virus",307677,"NC_006946","Linear"
"Apricot vein clearing associated virus",1343920,"NC_023295","Linear"
"Apteryx rowi circovirus-like virus",1634476,"NC_040528","Linear"
"Aquamicrobium phage P14",1927013,"NC_041912","Linear"
"Aquatic bird bornavirus 1",1715293,"NC_029642","Linear"
"Aquatic bird bornavirus 2",1884917,"NC_030691","Linear"
"Arabis mosaic virus large satellite RNA",190809,"NC_003523","Linear"
"Arabis mosaic virus small satellite RNA",196399,"NC_001546","Linear"
"Arabis mosaic virus small satellite RNA barley/CHE/1991",857288,"NC_018451","Linear"
